word,similarity,source
国际舆论,0.6706703305244446,Renda
社会舆论,0.6532571315765381,Renda
公众舆论,0.6344859600067139,Renda
媒体,0.6042515635490417,Renda
大众传媒,0.5768460035324097,Renda
舆情,0.5703768134117126,Renda
民意,0.5663487315177917,Renda
泛政治化,0.5513374209403992,Renda
传统媒体,0.539306104183197,Renda
舆论场,0.5375682711601257,Renda
国际舆,0.5270432829856873,Renda
公众,0.5262537002563477,Renda
混淆视听,0.5260381698608398,Renda
新闻媒体,0.5213918089866638,Renda
子场域,0.5212123990058899,Renda
广泛传播,0.5149360299110413,Renda
风向,0.5117468237876892,Renda
施动国,0.5092145800590515,Renda
岛争,0.5027076005935669,Renda
贬损,0.5025195479393005,Renda
