word,similarity,source
国际法,0.6168285012245178,Renda
规约,0.614971399307251,Renda
判例,0.6092177629470825,Renda
法规,0.6069331765174866,Renda
国际私法,0.5985941886901855,Renda
习惯法,0.5940456390380859,Renda
裁判,0.5926457047462463,Renda
法律体系,0.5686939358711243,Renda
美国法院,0.5683214068412781,Renda
第二款,0.5671277642250061,Renda
国际协定,0.5653802752494812,Renda
国际海洋法,0.5638418793678284,Renda
国际条约,0.5627900958061218,Renda
拘束,0.5574014186859131,Renda
国际公法,0.5468525290489197,Renda
法庭,0.5446496605873108,Renda
司法机构,0.5369513034820557,Renda
管辖权,0.5350196957588196,Renda
组织法,0.5309786200523376,Renda
国家法律,0.527186393737793,Renda
