word,similarity,source
心战,0.6010738611221313,CNKI
总政战局,0.5673952698707581,CNKI
信息战,0.5519172549247742,CNKI
军情局,0.5438867807388306,CNKI
电视台,0.5278081297874451,CNKI
政训,0.5275653004646301,CNKI
论战,0.5220171213150024,CNKI
三战,0.5114768743515015,CNKI
太空战,0.5076243281364441,CNKI
情报局,0.5040176510810852,CNKI
心辅,0.5031731724739075,CNKI
政战部,0.49896711111068726,CNKI
讲授,0.4975091218948364,CNKI
总队,0.4938596785068512,CNKI
总队长,0.4916664659976959,CNKI
师资,0.4846549332141876,CNKI
蛙人,0.4831308126449585,CNKI
撤侨,0.48278188705444336,CNKI
行政管理,0.4818468689918518,CNKI
阮庆,0.478379487991333,CNKI
