word,similarity,source
哗然,0.5525596737861633,CNKI
社会舆论,0.5437509417533875,CNKI
国际舆论,0.5321981906890869,CNKI
发声,0.5225546956062317,CNKI
抨击,0.5073907375335693,CNKI
嘲讽,0.5037927627563477,CNKI
声浪,0.4974624812602997,CNKI
轩然大波,0.49322476983070374,CNKI
反响,0.4839180111885071,CNKI
抵制,0.4740307927131653,CNKI
赤裸裸,0.47244077920913696,CNKI
选情,0.4721076190471649,CNKI
朝野,0.47110792994499207,CNKI
民怨,0.4697783291339874,CNKI
疑惧,0.46913668513298035,CNKI
一己,0.46818000078201294,CNKI
谎言,0.46777185797691345,CNKI
社交平台,0.46122971177101135,CNKI
武谋独,0.4609495997428894,CNKI
谬论,0.45555049180984497,CNKI
